id,EAP,HPL,MWS
id02310,0.5627432155835352,0.0029797525537238736,0.43427703186274097
id24541,0.8115874505879495,0.18575066049091626,0.0026618889211341332
id00134,0.024533139684607012,0.9737032175711342,0.0017636427442588142
id27757,0.4035658007913287,0.5637304148758029,0.032703784332868344
id04081,0.666994145932211,0.22051773744927683,0.11248811661851217
id27337,0.35395590605304295,0.6389806698517353,0.007063424095221661
id24265,0.9701949291821191,0.01688059586185123,0.012924474956029513
id25917,0.014346129327473003,0.8991761849119555,0.08647768576057162
id04951,0.9851529828594557,0.011119614502595791,0.003727402637948383
id14549,0.6477837312147879,0.011986274688170059,0.34022999409704197
id22505,0.011037004716198517,0.9808620189189226,0.00810097636487902
id24002,0.014938491633508372,0.9806191549423351,0.004442353424156475
id18982,0.003197325548966728,0.0036410106390419093,0.9931616638119914
id15181,0.06016668125885663,0.9397418574580217,9.146128312172796e-05
id21888,0.6254479867518631,0.25530888184173306,0.11924313140640377
id12035,0.00028910193898341906,5.722923376270223e-06,0.9997051751376403
id17991,0.7383536288206735,0.03667700911771846,0.2249693620616082
id10707,0.9949767034703773,0.004972866983727461,5.042954589541245e-05
id07101,0.7270566117438848,0.24775746321980366,0.025185925036311566
id00345,0.9640506364852134,0.013530774177275582,0.02241858933751097
id05912,0.7572245687784253,0.008389590423081239,0.23438584079849356
id13443,0.5923929038291064,0.32552918850206775,0.08207790766882586
id09248,0.05935606436532465,0.07406372222042311,0.8665802134142522
id17542,0.4785106598398953,0.14284543350884585,0.37864390665125885
id06995,0.4417541502156162,0.0004815345132480732,0.5577643152711357
id25159,0.7309091555304672,0.029780411030798322,0.23931043343873457
id25729,0.6624664791947514,0.21589263703868128,0.12164088376656727
id26949,0.7893511596885568,0.026439014721738582,0.1842098255897047
id27191,0.042235231804800814,0.006123128687424379,0.9516416395077749
id07668,0.1276774796100521,0.02724480558641831,0.8450777148035296
id02230,0.23348788631733922,0.5128070412623932,0.2537050724202676
id15553,0.9919578956896208,0.0007191840541051083,0.007322920256274049
id25688,0.02361603175847599,0.8881748372218764,0.0882091310196477
id17545,0.09459086097558203,0.903585879436263,0.0018232595881550935
id13929,0.05027260868623364,0.4809601046195008,0.46876728669426565
id12880,0.34319433167833124,0.630776503041186,0.02602916528048265
id19282,0.6667217447490527,0.13546287413774627,0.19781538111320102
id14690,0.0013695945717494466,9.094248919738912e-05,0.9985394629390532
id17975,0.8121045046241278,0.07446224529992672,0.11343325007594549
id08037,0.9770377179742323,0.020975974432838634,0.0019863075929292314
id15412,0.9931068790171328,0.002838206586095417,0.004054914396771764
id25032,0.6327614610833842,0.06433024451633451,0.3029082944002814
id27165,0.6177396796598643,0.025240368814959106,0.35701995152517657
id03327,0.5761310821027157,0.02502759643563122,0.398841321461653
id18515,0.9972816368081809,0.0006551387031440687,0.002063224488674894
id21003,0.1808235880993396,0.24709081435239807,0.5720855975482623
id23855,0.14109139194460754,0.7136574911691455,0.14525111688624695
id20724,0.6002303805060608,0.20309640514994204,0.19667321434399715
id13303,0.8488464580213092,0.06520308651634316,0.08595045546234775
id16521,0.0031439826570003166,0.023036177460013504,0.9738198398829861
id20775,0.9897535360317888,0.00137626619412931,0.008870197774081826
id13029,0.8584373290532412,0.10977042646190242,0.03179224448485646
id14660,0.9109692168159921,0.08413999121913521,0.004890791964872556
id11028,0.16754731324364053,5.4145239139548906e-05,0.8323985415172198
id14180,0.9843472848223549,0.01266116734471116,0.0029915478329339026
id25860,0.9998206035296583,0.00016438885077618245,1.500761956553496e-05
id11910,0.30745937809845586,0.038287806644220525,0.6542528152573237
id08065,0.3275112234495322,0.0396866969798032,0.6328020795706647
id22674,0.014705245506336622,0.01024404776441418,0.9750507067292492
id25018,0.8352107513211935,0.0170720727148432,0.1477171759639633
id10892,0.03909779958535305,0.9574587065257917,0.003443493888855235
id10217,0.8213465843389114,0.1785435832024377,0.00010983245865088888
id12996,0.29765851976519486,0.020332395658749173,0.682009084576056
